iter	Passed	Remaining
406	5379	7838
407	5392	7824
408	5405	7810
409	5418	7797
410	5431	7783
411	5443	7769
412	5456	7755
413	5470	7743
414	5483	7729
415	5495	7715
416	5508	7701
417	5521	7687
418	5533	7673
419	5546	7659
420	5559	7646
421	5573	7633
422	5586	7619
423	5599	7606
424	5612	7592
425	5625	7579
426	5638	7566
427	5651	7552
428	5664	7539
429	5677	7526
430	5690	7512
431	5703	7498
432	5715	7484
433	5728	7470
434	5740	7456
435	5753	7442
436	5766	7429
437	5779	7415
438	5791	7401
439	5804	7387
440	5817	7374
441	5830	7360
442	5843	7346
443	5855	7333
444	5868	7319
445	5881	7305
446	5893	7291
447	5906	7277
448	5918	7263
449	5931	7250
450	5944	7236
451	5957	7223
452	5970	7209
453	5983	7195
454	5996	7182
455	6008	7168
456	6021	7154
457	6034	7141
458	6047	7127
459	6059	7113
460	6072	7100
461	6086	7087
462	6100	7075
463	6114	7062
464	6126	7049
465	6139	7035
466	6152	7021
467	6164	7007
468	6177	6993
469	6189	6980
470	6203	6967
471	6216	6954
472	6229	6940
473	6241	6926
474	6254	6912
475	6267	6899
476	6280	6886
477	6293	6872
478	6305	6858
479	6318	6845
480	6331	6831
481	6344	6817
482	6356	6804
483	6369	6790
484	6381	6776
485	6394	6763
486	6407	6749
487	6420	6736
488	6432	6722
489	6445	6708
490	6458	6694
491	6470	6681
492	6483	6667
493	6496	6654
494	6508	6640
495	6521	6626
496	6534	6613
497	6547	6599
498	6560	6586
499	6572	6572
500	6585	6559
501	6598	6545
502	6611	6532
503	6624	6519
504	6637	6506
505	6650	6492
506	6663	6479
507	6675	6465
508	6688	6452
509	6701	6438
510	6714	6425
511	6727	6411
512	6740	6398
513	6753	6385
514	6767	6372
515	6779	6359
516	6792	6345
517	6805	6332
518	6818	6319
519	6831	6305
520	6843	6292
521	6864	6285
522	6891	6285
523	6907	6274
524	6925	6266
525	6938	6252
526	6950	6238
527	6963	6224
528	6975	6210
529	6989	6198
530	7002	6184
531	7015	6171
532	7028	6158
533	7041	6145
534	7054	6131
535	7067	6118
536	7079	6104
537	7093	6091
538	7105	6077
539	7118	6063
540	7132	6051
541	7145	6037
542	7158	6024
543	7170	6010
544	7183	5997
545	7196	5983
546	7209	5970
547	7222	5957
548	7234	5943
549	7247	5929
550	7260	5916
551	7272	5902
552	7285	5888
553	7298	5875
554	7311	5862
555	7324	5848
556	7336	5835
557	7349	5821
558	7363	5809
559	7376	5796
560	7389	5782
561	7402	5769
562	7414	5755
563	7427	5741
564	7439	5728
565	7452	5714
566	7466	5701
567	7478	5687
568	7491	5674
569	7503	5660
570	7517	5647
571	7529	5634
572	7543	5621
573	7556	5607
574	7568	5594
575	7582	5581
576	7595	5568
577	7608	5555
578	7621	5541
579	7634	5528
580	7646	5514
581	7659	5501
582	7672	5487
583	7685	5474
584	7698	5461
585	7711	5447
586	7724	5434
587	7736	5421
588	7749	5407
589	7763	5395
590	7776	5381
591	7789	5368
592	7802	5355
593	7815	5341
594	7828	5328
595	7841	5315
596	7855	5302
597	7867	5288
598	7879	5275
599	7892	5261
600	7905	5248
601	7918	5235
602	7930	5221
603	7943	5207
604	7955	5194
605	7968	5181
606	7981	5167
607	7994	5154
608	8008	5141
609	8020	5127
610	8033	5114
611	8046	5101
612	8059	5087
613	8071	5074
614	8084	5061
615	8097	5047
616	8110	5034
617	8122	5020
618	8135	5007
619	8148	4994
620	8161	4980
621	8173	4967
622	8186	4953
623	8200	4941
624	8213	4928
625	8226	4914
626	8239	4901
627	8252	4888
628	8264	4874
629	8277	4861
630	8290	4848
631	8302	4834
632	8315	4821
633	8328	4808
